Unnamed: 0,member,points,memberID,level
,fwiz#6023,1640,247292930346319872,2.0
,Rain#5011,900,675022256115548188,1.0
,Jarvis#3887,80,678337576268070942,1.0
,nezuko#7368,400,577140178791956500,1.0
,Moogs#2009,540,361158149371199488,1.0
,chr1sBot#2036,400,427063788546555916,1.0
,chr1s#1337,860,246938839720001536,1.0
,Melody#6935,80,587836091177107456,1.0
,[mio] Akiyama Mio#8065,0,659754224233480192,1.0
,nickofolas#0066,920,680835476034551925,1.0
,R. Danny#6348,340,80528701850124288,1.0
,Lobstero#8575,20,642538503711752234,1.0
,PyRoMancer#9399,220,411563702526017536,1.0
,Nerrix#0001,20,332864061496623104,1.0
,EmojiMaster#8109,20,627803588185554974,1.0
,IdleRPG#8939,260,424606447867789312,1.0
,StarrFox#6312,80,285148358815776768,1.0
,aaix#0001,160,171197717559771136,1.0
,blink#0762,80,692738917236998154,1.0
,Shahriyar#9770,20,696939596667158579,1.0
,jolly_jokester#1327,180,612349409736392928,1.0
,class Erase#0027,560,635971624406876170,1.0
,Kumiko Oumae Prime#3911,40,701750058063888464,1.0
,Cleverbot#4059,60,508012980194115595,1.0
,neo#2704,400,680863597600964679,1.0
,Sparklybot âœ¨#2325,0,440176226338865167,1.0
,Moksej#3335,80,345457928972533773,1.0
,ThisIsanAlt#0117,120,447119084627427351,1.0
,crocsBot#9071,40,705134038557655270,1.0
,Lorenzo#6154,20,371741730455814145,1.0
,qwest#1951,0,315465100200902657,1.0
,TorniX#1305,80,352423960350294018,1.0
,defracted#8618,260,576322791129743361,1.0
,BeatButton#1713,0,140293604726800385,1.0
,Galleon#7929,60,634403275957075984,1.0
,Tortoise#3078,20,604230021594480650,1.0
,Nova#3379,140,431677941722906625,1.0
,kriX#9879,0,325857819888713730,1.0
,Groovy#7254,540,234395307759108106,1.0
,Feminist#9996,260,266865822817845249,1.0
,JuicyJacc#3772,100,460421713935597589,1.0
,sprout#6906,40,335394052834983938,1.0
,xelA#0336,0,267941509272174592,1.0
,Server Pets Beta#4210,0,699608214144024717,1.0
,Goaty#1221,80,373089985403813888,1.0
,Koishi#8740,20,261741896550842378,1.0
,YMY#9749,0,590063079988133889,1.0
,Welcomer#5491,0,330416853971107840,1.0
,BetterGuard#2808,0,642435795029852163,1.0
,ROBOT IS YOU#2328,0,480227663047294987,1.0
,Quacky#1653,0,478370481926438932,1.0
,Gami#7891,0,435139562944069654,1.0
